order_id,order_number,customer_id,order_status,order_total,currency_code,created_at,updated_at
34,ORD-0000000034,9,paid,685.88,USD,2026-08-01T00:34:00+00:00,2026-08-01T00:34:00+00:00
35,ORD-0000000035,84,cancelled,2107.95,USD,2026-08-01T00:35:00+00:00,2026-08-01T00:35:00+00:00
36,ORD-0000000036,39,pending,2259.23,USD,2026-08-01T00:36:00+00:00,2026-08-01T00:36:00+00:00
37,ORD-0000000037,20,shipped,1959.27,USD,2026-08-01T00:37:00+00:00,2026-08-01T00:37:00+00:00
38,ORD-0000000038,65,delivered,1928.07,USD,2026-08-01T00:38:00+00:00,2026-08-01T00:38:00+00:00
39,ORD-0000000039,1,shipped,1339.88,USD,2026-08-01T00:39:00+00:00,2026-08-01T00:39:00+00:00
40,ORD-0000000040,71,delivered,2568.10,USD,2026-08-01T00:40:00+00:00,2026-08-01T00:40:00+00:00
41,ORD-0000000041,19,delivered,606.06,USD,2026-08-01T00:41:00+00:00,2026-08-01T00:41:00+00:00
42,ORD-0000000042,46,paid,3076.77,USD,2026-08-01T00:42:00+00:00,2026-08-01T00:42:00+00:00
43,ORD-0000000043,53,cancelled,1189.68,USD,2026-08-01T00:43:00+00:00,2026-08-01T00:43:00+00:00
44,ORD-0000000044,4,paid,2631.47,USD,2026-08-01T00:44:00+00:00,2026-08-01T00:44:00+00:00
45,ORD-0000000045,90,pending,3061.72,USD,2026-08-01T00:45:00+00:00,2026-08-01T00:45:00+00:00
46,ORD-0000000046,29,pending,392.20,USD,2026-08-01T00:46:00+00:00,2026-08-01T00:46:00+00:00
47,ORD-0000000047,99,shipped,2104.48,USD,2026-08-01T00:47:00+00:00,2026-08-01T00:47:00+00:00
48,ORD-0000000048,15,shipped,737.73,USD,2026-08-01T00:48:00+00:00,2026-08-01T00:48:00+00:00
49,ORD-0000000049,77,delivered,2487.84,USD,2026-08-01T00:49:00+00:00,2026-08-01T00:49:00+00:00
50,ORD-0000000050,50,cancelled,1363.00,USD,2026-08-01T00:50:00+00:00,2026-08-01T00:50:00+00:00
51,ORD-0000000051,67,cancelled,760.60,USD,2026-08-01T00:51:00+00:00,2026-08-01T00:51:00+00:00
52,ORD-0000000052,80,shipped,539.85,USD,2026-08-01T00:52:00+00:00,2026-08-01T00:52:00+00:00
53,ORD-0000000053,65,shipped,2078.63,USD,2026-08-01T00:53:00+00:00,2026-08-01T00:53:00+00:00
54,ORD-0000000054,86,delivered,674.93,USD,2026-08-01T00:54:00+00:00,2026-08-01T00:54:00+00:00
55,ORD-0000000055,71,pending,2952.42,USD,2026-08-01T00:55:00+00:00,2026-08-01T00:55:00+00:00
56,ORD-0000000056,60,delivered,2496.66,USD,2026-08-01T00:56:00+00:00,2026-08-01T00:56:00+00:00
57,ORD-0000000057,85,cancelled,2134.57,USD,2026-08-01T00:57:00+00:00,2026-08-01T00:57:00+00:00
58,ORD-0000000058,19,pending,1119.68,USD,2026-08-01T00:58:00+00:00,2026-08-01T00:58:00+00:00
59,ORD-0000000059,79,pending,2154.20,USD,2026-08-01T00:59:00+00:00,2026-08-01T00:59:00+00:00
60,ORD-0000000060,19,pending,1684.48,USD,2026-08-01T01:00:00+00:00,2026-08-01T01:00:00+00:00
61,ORD-0000000061,29,paid,5300.59,USD,2026-08-01T01:01:00+00:00,2026-08-01T01:01:00+00:00
62,ORD-0000000062,77,shipped,2954.45,USD,2026-08-01T01:02:00+00:00,2026-08-01T01:02:00+00:00
63,ORD-0000000063,58,shipped,1105.10,USD,2026-08-01T01:03:00+00:00,2026-08-01T01:03:00+00:00
64,ORD-0000000064,81,paid,671.57,USD,2026-08-01T01:04:00+00:00,2026-08-01T01:04:00+00:00
65,ORD-0000000065,43,shipped,3220.31,USD,2026-08-01T01:05:00+00:00,2026-08-01T01:05:00+00:00
66,ORD-0000000066,43,cancelled,3882.71,USD,2026-08-01T01:06:00+00:00,2026-08-01T01:06:00+00:00
67,ORD-0000000067,62,pending,1026.23,USD,2026-08-01T01:07:00+00:00,2026-08-01T01:07:00+00:00
68,ORD-0000000068,78,paid,2761.07,USD,2026-08-01T01:08:00+00:00,2026-08-01T01:08:00+00:00
69,ORD-0000000069,93,paid,2591.91,USD,2026-08-01T01:09:00+00:00,2026-08-01T01:09:00+00:00
70,ORD-0000000070,11,delivered,1504.63,USD,2026-08-01T01:10:00+00:00,2026-08-01T01:10:00+00:00
71,ORD-0000000071,49,shipped,2046.01,USD,2026-08-01T01:11:00+00:00,2026-08-01T01:11:00+00:00
72,ORD-0000000072,36,delivered,4011.65,USD,2026-08-01T01:12:00+00:00,2026-08-01T01:12:00+00:00
73,ORD-0000000073,29,pending,51.78,USD,2026-08-01T01:13:00+00:00,2026-08-01T01:13:00+00:00
74,ORD-0000000074,32,paid,315.10,USD,2026-08-01T01:14:00+00:00,2026-08-01T01:14:00+00:00
75,ORD-0000000075,31,paid,3962.46,USD,2026-08-01T01:15:00+00:00,2026-08-01T01:15:00+00:00
76,ORD-0000000076,78,cancelled,842.24,USD,2026-08-01T01:16:00+00:00,2026-08-01T01:16:00+00:00
77,ORD-0000000077,40,pending,3585.63,USD,2026-08-01T01:17:00+00:00,2026-08-01T01:17:00+00:00
78,ORD-0000000078,14,shipped,3341.49,USD,2026-08-01T01:18:00+00:00,2026-08-01T01:18:00+00:00
79,ORD-0000000079,2,delivered,2850.96,USD,2026-08-01T01:19:00+00:00,2026-08-01T01:19:00+00:00
80,ORD-0000000080,94,cancelled,3282.64,USD,2026-08-01T01:20:00+00:00,2026-08-01T01:20:00+00:00
81,ORD-0000000081,94,cancelled,2946.31,USD,2026-08-01T01:21:00+00:00,2026-08-01T01:21:00+00:00
82,ORD-0000000082,97,delivered,3756.81,USD,2026-08-01T01:22:00+00:00,2026-08-01T01:22:00+00:00
83,ORD-0000000083,46,shipped,1782.69,USD,2026-08-01T01:23:00+00:00,2026-08-01T01:23:00+00:00
84,ORD-0000000084,67,paid,1119.68,USD,2026-08-01T01:24:00+00:00,2026-08-01T01:24:00+00:00
85,ORD-0000000085,63,cancelled,1337.52,USD,2026-08-01T01:25:00+00:00,2026-08-01T01:25:00+00:00
86,ORD-0000000086,3,pending,2372.28,USD,2026-08-01T01:26:00+00:00,2026-08-01T01:26:00+00:00
87,ORD-0000000087,48,delivered,4154.39,USD,2026-08-01T01:27:00+00:00,2026-08-01T01:27:00+00:00
88,ORD-0000000088,33,paid,359.90,USD,2026-08-01T01:28:00+00:00,2026-08-01T01:28:00+00:00
89,ORD-0000000089,41,pending,7182.69,USD,2026-08-01T01:29:00+00:00,2026-08-01T01:29:00+00:00
90,ORD-0000000090,37,pending,956.94,USD,2026-08-01T01:30:00+00:00,2026-08-01T01:30:00+00:00
91,ORD-0000000091,39,pending,1341.38,USD,2026-08-01T01:31:00+00:00,2026-08-01T01:31:00+00:00
92,ORD-0000000092,74,shipped,1335.05,USD,2026-08-01T01:32:00+00:00,2026-08-01T01:32:00+00:00
93,ORD-0000000093,9,delivered,1536.06,USD,2026-08-01T01:33:00+00:00,2026-08-01T01:33:00+00:00
94,ORD-0000000094,39,pending,2222.88,USD,2026-08-01T01:34:00+00:00,2026-08-01T01:34:00+00:00
95,ORD-0000000095,77,cancelled,3352.36,USD,2026-08-01T01:35:00+00:00,2026-08-01T01:35:00+00:00
96,ORD-0000000096,57,shipped,1706.85,USD,2026-08-01T01:36:00+00:00,2026-08-01T01:36:00+00:00
97,ORD-0000000097,85,pending,1799.12,USD,2026-08-01T01:37:00+00:00,2026-08-01T01:37:00+00:00
98,ORD-0000000098,21,pending,997.62,USD,2026-08-01T01:38:00+00:00,2026-08-01T01:38:00+00:00
99,ORD-0000000099,91,shipped,3006.78,USD,2026-08-01T01:39:00+00:00,2026-08-01T01:39:00+00:00
100,ORD-0000000100,70,paid,253.69,USD,2026-08-01T01:40:00+00:00,2026-08-01T01:40:00+00:00
101,ORD-0000000101,22,shipped,4060.70,USD,2026-08-01T01:41:00+00:00,2026-08-01T01:41:00+00:00
102,ORD-0000000102,70,delivered,3119.15,USD,2026-08-01T01:42:00+00:00,2026-08-01T01:42:00+00:00
103,ORD-0000000103,12,paid,4699.10,USD,2026-08-01T01:43:00+00:00,2026-08-01T01:43:00+00:00
104,ORD-0000000104,84,delivered,2749.79,USD,2026-08-01T01:44:00+00:00,2026-08-01T01:44:00+00:00
105,ORD-0000000105,45,delivered,3278.27,USD,2026-08-01T01:45:00+00:00,2026-08-01T01:45:00+00:00
106,ORD-0000000106,89,delivered,2383.44,USD,2026-08-01T01:46:00+00:00,2026-08-01T01:46:00+00:00
107,ORD-0000000107,12,shipped,3508.77,USD,2026-08-01T01:47:00+00:00,2026-08-01T01:47:00+00:00
108,ORD-0000000108,85,cancelled,4332.43,USD,2026-08-01T01:48:00+00:00,2026-08-01T01:48:00+00:00
109,ORD-0000000109,98,pending,767.60,USD,2026-08-01T01:49:00+00:00,2026-08-01T01:49:00+00:00
110,ORD-0000000110,57,delivered,2454.85,USD,2026-08-01T01:50:00+00:00,2026-08-01T01:50:00+00:00
111,ORD-0000000111,31,paid,517.30,USD,2026-08-01T01:51:00+00:00,2026-08-01T01:51:00+00:00
112,ORD-0000000112,60,pending,1470.63,USD,2026-08-01T01:52:00+00:00,2026-08-01T01:52:00+00:00
113,ORD-0000000113,91,shipped,2560.40,USD,2026-08-01T01:53:00+00:00,2026-08-01T01:53:00+00:00
114,ORD-0000000114,66,paid,749.20,USD,2026-08-01T01:54:00+00:00,2026-08-01T01:54:00+00:00
115,ORD-0000000115,44,cancelled,1179.80,USD,2026-08-01T01:55:00+00:00,2026-08-01T01:55:00+00:00
116,ORD-0000000116,85,delivered,859.81,USD,2026-08-01T01:56:00+00:00,2026-08-01T01:56:00+00:00
117,ORD-0000000117,43,cancelled,4525.65,USD,2026-08-01T01:57:00+00:00,2026-08-01T01:57:00+00:00
118,ORD-0000000118,6,shipped,1343.57,USD,2026-08-01T01:58:00+00:00,2026-08-01T01:58:00+00:00
119,ORD-0000000119,65,cancelled,2317.00,USD,2026-08-01T01:59:00+00:00,2026-08-01T01:59:00+00:00
120,ORD-0000000120,53,paid,260.37,USD,2026-08-01T02:00:00+00:00,2026-08-01T02:00:00+00:00
121,ORD-0000000121,44,cancelled,4434.95,USD,2026-08-01T02:01:00+00:00,2026-08-01T02:01:00+00:00
122,ORD-0000000122,70,pending,962.28,USD,2026-08-01T02:02:00+00:00,2026-08-01T02:02:00+00:00
123,ORD-0000000123,57,paid,1833.26,USD,2026-08-01T02:03:00+00:00,2026-08-01T02:03:00+00:00
124,ORD-0000000124,48,delivered,3204.53,USD,2026-08-01T02:04:00+00:00,2026-08-01T02:04:00+00:00
125,ORD-0000000125,88,paid,3959.16,USD,2026-08-01T02:05:00+00:00,2026-08-01T02:05:00+00:00
126,ORD-0000000126,80,paid,3280.51,USD,2026-08-01T02:06:00+00:00,2026-08-01T02:06:00+00:00
127,ORD-0000000127,60,shipped,2760.81,USD,2026-08-01T02:07:00+00:00,2026-08-01T02:07:00+00:00
128,ORD-0000000128,26,delivered,2835.82,USD,2026-08-01T02:08:00+00:00,2026-08-01T02:08:00+00:00
129,ORD-0000000129,3,delivered,1307.12,USD,2026-08-01T02:09:00+00:00,2026-08-01T02:09:00+00:00
130,ORD-0000000130,37,paid,2284.12,USD,2026-08-01T02:10:00+00:00,2026-08-01T02:10:00+00:00
131,ORD-0000000131,57,pending,2447.42,USD,2026-08-01T02:11:00+00:00,2026-08-01T02:11:00+00:00
132,ORD-0000000132,70,shipped,3103.98,USD,2026-08-01T02:12:00+00:00,2026-08-01T02:12:00+00:00
133,ORD-0000000133,19,paid,3328.06,USD,2026-08-01T02:13:00+00:00,2026-08-01T02:13:00+00:00
134,ORD-0000000134,59,shipped,1523.18,USD,2026-08-01T02:14:00+00:00,2026-08-01T02:14:00+00:00
135,ORD-0000000135,61,pending,3777.05,USD,2026-08-01T02:15:00+00:00,2026-08-01T02:15:00+00:00
136,ORD-0000000136,18,pending,438.48,USD,2026-08-01T02:16:00+00:00,2026-08-01T02:16:00+00:00
137,ORD-0000000137,15,pending,1071.20,USD,2026-08-01T02:17:00+00:00,2026-08-01T02:17:00+00:00
138,ORD-0000000138,48,cancelled,3258.10,USD,2026-08-01T02:18:00+00:00,2026-08-01T02:18:00+00:00
139,ORD-0000000139,53,shipped,742.77,USD,2026-08-01T02:19:00+00:00,2026-08-01T02:19:00+00:00
140,ORD-0000000140,28,delivered,3298.94,USD,2026-08-01T02:20:00+00:00,2026-08-01T02:20:00+00:00
141,ORD-0000000141,51,shipped,1004.11,USD,2026-08-01T02:21:00+00:00,2026-08-01T02:21:00+00:00
142,ORD-0000000142,83,cancelled,289.29,USD,2026-08-01T02:22:00+00:00,2026-08-01T02:22:00+00:00
143,ORD-0000000143,32,paid,3701.89,USD,2026-08-01T02:23:00+00:00,2026-08-01T02:23:00+00:00
144,ORD-0000000144,1,shipped,561.41,USD,2026-08-01T02:24:00+00:00,2026-08-01T02:24:00+00:00
145,ORD-0000000145,15,pending,886.35,USD,2026-08-01T02:25:00+00:00,2026-08-01T02:25:00+00:00
146,ORD-0000000146,42,pending,984.48,USD,2026-08-01T02:26:00+00:00,2026-08-01T02:26:00+00:00
147,ORD-0000000147,68,pending,347.16,USD,2026-08-01T02:27:00+00:00,2026-08-01T02:27:00+00:00
148,ORD-0000000148,100,shipped,5680.20,USD,2026-08-01T02:28:00+00:00,2026-08-01T02:28:00+00:00
149,ORD-0000000149,83,pending,347.16,USD,2026-08-01T02:29:00+00:00,2026-08-01T02:29:00+00:00
150,ORD-0000000150,55,pending,1228.88,USD,2026-08-01T02:30:00+00:00,2026-08-01T02:30:00+00:00
151,ORD-0000000151,17,shipped,4686.14,USD,2026-08-01T02:31:00+00:00,2026-08-01T02:31:00+00:00
152,ORD-0000000152,65,cancelled,4623.70,USD,2026-08-01T02:32:00+00:00,2026-08-01T02:32:00+00:00
153,ORD-0000000153,30,delivered,1432.78,USD,2026-08-01T02:33:00+00:00,2026-08-01T02:33:00+00:00
154,ORD-0000000154,41,shipped,397.26,USD,2026-08-01T02:34:00+00:00,2026-08-01T02:34:00+00:00
155,ORD-0000000155,12,delivered,1358.85,USD,2026-08-01T02:35:00+00:00,2026-08-01T02:35:00+00:00
156,ORD-0000000156,17,cancelled,2191.75,USD,2026-08-01T02:36:00+00:00,2026-08-01T02:36:00+00:00
157,ORD-0000000157,72,shipped,691.20,USD,2026-08-01T02:37:00+00:00,2026-08-01T02:37:00+00:00
158,ORD-0000000158,86,delivered,46.20,USD,2026-08-01T02:38:00+00:00,2026-08-01T02:38:00+00:00
159,ORD-0000000159,40,shipped,252.85,USD,2026-08-01T02:39:00+00:00,2026-08-01T02:39:00+00:00
160,ORD-0000000160,28,paid,2849.50,USD,2026-08-01T02:40:00+00:00,2026-08-01T02:40:00+00:00
161,ORD-0000000161,29,delivered,2390.27,USD,2026-08-01T02:41:00+00:00,2026-08-01T02:41:00+00:00
162,ORD-0000000162,35,shipped,2280.01,USD,2026-08-01T02:42:00+00:00,2026-08-01T02:42:00+00:00
163,ORD-0000000163,9,paid,2451.95,USD,2026-08-01T02:43:00+00:00,2026-08-01T02:43:00+00:00
164,ORD-0000000164,28,delivered,3394.68,USD,2026-08-01T02:44:00+00:00,2026-08-01T02:44:00+00:00
165,ORD-0000000165,11,pending,839.08,USD,2026-08-01T02:45:00+00:00,2026-08-01T02:45:00+00:00
166,ORD-0000000166,87,pending,2955.15,USD,2026-08-01T02:46:00+00:00,2026-08-01T02:46:00+00:00
167,ORD-0000000167,54,shipped,1152.09,USD,2026-08-01T02:47:00+00:00,2026-08-01T02:47:00+00:00
168,ORD-0000000168,56,pending,2788.51,USD,2026-08-01T02:48:00+00:00,2026-08-01T02:48:00+00:00
169,ORD-0000000169,29,delivered,2599.41,USD,2026-08-01T02:49:00+00:00,2026-08-01T02:49:00+00:00
170,ORD-0000000170,1,delivered,1982.91,USD,2026-08-01T02:50:00+00:00,2026-08-01T02:50:00+00:00
171,ORD-0000000171,10,delivered,178.34,USD,2026-08-01T02:51:00+00:00,2026-08-01T02:51:00+00:00
172,ORD-0000000172,59,pending,805.67,USD,2026-08-01T02:52:00+00:00,2026-08-01T02:52:00+00:00
173,ORD-0000000173,52,pending,1854.21,USD,2026-08-01T02:53:00+00:00,2026-08-01T02:53:00+00:00
174,ORD-0000000174,14,paid,4190.20,USD,2026-08-01T02:54:00+00:00,2026-08-01T02:54:00+00:00
175,ORD-0000000175,43,paid,366.77,USD,2026-08-01T02:55:00+00:00,2026-08-01T02:55:00+00:00
176,ORD-0000000176,68,cancelled,1555.54,USD,2026-08-01T02:56:00+00:00,2026-08-01T02:56:00+00:00
177,ORD-0000000177,31,pending,2462.76,USD,2026-08-01T02:57:00+00:00,2026-08-01T02:57:00+00:00
178,ORD-0000000178,20,pending,1969.20,USD,2026-08-01T02:58:00+00:00,2026-08-01T02:58:00+00:00
179,ORD-0000000179,97,cancelled,1710.29,USD,2026-08-01T02:59:00+00:00,2026-08-01T02:59:00+00:00
180,ORD-0000000180,9,delivered,1774.89,USD,2026-08-01T03:00:00+00:00,2026-08-01T03:00:00+00:00
181,ORD-0000000181,40,delivered,1436.01,USD,2026-08-01T03:01:00+00:00,2026-08-01T03:01:00+00:00
182,ORD-0000000182,65,delivered,3810.74,USD,2026-08-01T03:02:00+00:00,2026-08-01T03:02:00+00:00
183,ORD-0000000183,78,delivered,1352.04,USD,2026-08-01T03:03:00+00:00,2026-08-01T03:03:00+00:00
184,ORD-0000000184,91,delivered,3255.72,USD,2026-08-01T03:04:00+00:00,2026-08-01T03:04:00+00:00
185,ORD-0000000185,100,shipped,2261.11,USD,2026-08-01T03:05:00+00:00,2026-08-01T03:05:00+00:00
186,ORD-0000000186,33,cancelled,1916.23,USD,2026-08-01T03:06:00+00:00,2026-08-01T03:06:00+00:00
187,ORD-0000000187,45,shipped,3090.96,USD,2026-08-01T03:07:00+00:00,2026-08-01T03:07:00+00:00
188,ORD-0000000188,17,cancelled,748.64,USD,2026-08-01T03:08:00+00:00,2026-08-01T03:08:00+00:00
189,ORD-0000000189,66,shipped,676.74,USD,2026-08-01T03:09:00+00:00,2026-08-01T03:09:00+00:00
190,ORD-0000000190,24,paid,2093.96,USD,2026-08-01T03:10:00+00:00,2026-08-01T03:10:00+00:00
191,ORD-0000000191,10,shipped,1833.85,USD,2026-08-01T03:11:00+00:00,2026-08-01T03:11:00+00:00
192,ORD-0000000192,95,cancelled,1264.77,USD,2026-08-01T03:12:00+00:00,2026-08-01T03:12:00+00:00
193,ORD-0000000193,99,cancelled,520.82,USD,2026-08-01T03:13:00+00:00,2026-08-01T03:13:00+00:00
194,ORD-0000000194,24,cancelled,313.79,USD,2026-08-01T03:14:00+00:00,2026-08-01T03:14:00+00:00
195,ORD-0000000195,47,paid,1813.48,USD,2026-08-01T03:15:00+00:00,2026-08-01T03:15:00+00:00
196,ORD-0000000196,40,delivered,2104.22,USD,2026-08-01T03:16:00+00:00,2026-08-01T03:16:00+00:00
197,ORD-0000000197,60,shipped,3751.57,USD,2026-08-01T03:17:00+00:00,2026-08-01T03:17:00+00:00
198,ORD-0000000198,7,delivered,1444.27,USD,2026-08-01T03:18:00+00:00,2026-08-01T03:18:00+00:00
199,ORD-0000000199,11,paid,633.39,USD,2026-08-01T03:19:00+00:00,2026-08-01T03:19:00+00:00
200,ORD-0000000200,58,shipped,230.40,USD,2026-08-01T03:20:00+00:00,2026-08-01T03:20:00+00:00
201,ORD-0000000201,51,cancelled,1461.69,USD,2026-08-01T03:21:00+00:00,2026-08-01T03:21:00+00:00
202,ORD-0000000202,41,pending,633.37,USD,2026-08-01T03:22:00+00:00,2026-08-01T03:22:00+00:00
203,ORD-0000000203,98,delivered,4064.18,USD,2026-08-01T03:23:00+00:00,2026-08-01T03:23:00+00:00
204,ORD-0000000204,94,cancelled,2486.27,USD,2026-08-01T03:24:00+00:00,2026-08-01T03:24:00+00:00
205,ORD-0000000205,82,cancelled,2991.27,USD,2026-08-01T03:25:00+00:00,2026-08-01T03:25:00+00:00
206,ORD-0000000206,31,paid,1478.67,USD,2026-08-01T03:26:00+00:00,2026-08-01T03:26:00+00:00
207,ORD-0000000207,54,paid,1250.91,USD,2026-08-01T03:27:00+00:00,2026-08-01T03:27:00+00:00
208,ORD-0000000208,9,cancelled,2647.78,USD,2026-08-01T03:28:00+00:00,2026-08-01T03:28:00+00:00
209,ORD-0000000209,46,pending,2444.44,USD,2026-08-01T03:29:00+00:00,2026-08-01T03:29:00+00:00
210,ORD-0000000210,18,pending,1980.98,USD,2026-08-01T03:30:00+00:00,2026-08-01T03:30:00+00:00
211,ORD-0000000211,81,paid,430.93,USD,2026-08-01T03:31:00+00:00,2026-08-01T03:31:00+00:00
212,ORD-0000000212,38,paid,372.80,USD,2026-08-01T03:32:00+00:00,2026-08-01T03:32:00+00:00
213,ORD-0000000213,41,shipped,1918.90,USD,2026-08-01T03:33:00+00:00,2026-08-01T03:33:00+00:00
214,ORD-0000000214,35,pending,2345.69,USD,2026-08-01T03:34:00+00:00,2026-08-01T03:34:00+00:00
215,ORD-0000000215,24,delivered,4520.44,USD,2026-08-01T03:35:00+00:00,2026-08-01T03:35:00+00:00
216,ORD-0000000216,24,cancelled,3404.22,USD,2026-08-01T03:36:00+00:00,2026-08-01T03:36:00+00:00
217,ORD-0000000217,58,cancelled,1708.26,USD,2026-08-01T03:37:00+00:00,2026-08-01T03:37:00+00:00
218,ORD-0000000218,56,shipped,288.64,USD,2026-08-01T03:38:00+00:00,2026-08-01T03:38:00+00:00
219,ORD-0000000219,47,cancelled,2720.41,USD,2026-08-01T03:39:00+00:00,2026-08-01T03:39:00+00:00
220,ORD-0000000220,5,paid,839.76,USD,2026-08-01T03:40:00+00:00,2026-08-01T03:40:00+00:00
221,ORD-0000000221,47,delivered,1757.30,USD,2026-08-01T03:41:00+00:00,2026-08-01T03:41:00+00:00
222,ORD-0000000222,18,cancelled,956.17,USD,2026-08-01T03:42:00+00:00,2026-08-01T03:42:00+00:00
223,ORD-0000000223,4,paid,2756.16,USD,2026-08-01T03:43:00+00:00,2026-08-01T03:43:00+00:00
224,ORD-0000000224,79,shipped,2450.54,USD,2026-08-01T03:44:00+00:00,2026-08-01T03:44:00+00:00
225,ORD-0000000225,88,shipped,1320.93,USD,2026-08-01T03:45:00+00:00,2026-08-01T03:45:00+00:00
226,ORD-0000000226,21,paid,2446.70,USD,2026-08-01T03:46:00+00:00,2026-08-01T03:46:00+00:00
227,ORD-0000000227,64,pending,1228.01,USD,2026-08-01T03:47:00+00:00,2026-08-01T03:47:00+00:00
228,ORD-0000000228,79,pending,438.48,USD,2026-08-01T03:48:00+00:00,2026-08-01T03:48:00+00:00
229,ORD-0000000229,92,delivered,1732.29,USD,2026-08-01T03:49:00+00:00,2026-08-01T03:49:00+00:00
230,ORD-0000000230,45,paid,3426.16,USD,2026-08-01T03:50:00+00:00,2026-08-01T03:50:00+00:00
231,ORD-0000000231,20,shipped,1160.77,USD,2026-08-01T03:51:00+00:00,2026-08-01T03:51:00+00:00
232,ORD-0000000232,67,shipped,598.76,USD,2026-08-01T03:52:00+00:00,2026-08-01T03:52:00+00:00
233,ORD-0000000233,82,cancelled,594.57,USD,2026-08-01T03:53:00+00:00,2026-08-01T03:53:00+00:00
234,ORD-0000000234,65,paid,3757.36,USD,2026-08-01T03:54:00+00:00,2026-08-01T03:54:00+00:00
235,ORD-0000000235,11,pending,4544.89,USD,2026-08-01T03:55:00+00:00,2026-08-01T03:55:00+00:00
236,ORD-0000000236,38,shipped,1651.37,USD,2026-08-01T03:56:00+00:00,2026-08-01T03:56:00+00:00
237,ORD-0000000237,57,delivered,3180.05,USD,2026-08-01T03:57:00+00:00,2026-08-01T03:57:00+00:00
